,,,,,,,,,,,,,,,,,,,,,,
Empresa,Industria,Categoria,Fecha Prospección,Prospectado por,Clasificacion,Num. Empleados,Country,Ubicacion,Ingresos Estimados,Tienda online,Pagina Web,Pagina De Instagram,Pagina De Twitter X,Pagina De Facebook,Pagina De Pinterest,Canal De Youtube,Pagina De Linkedin,Pagina De Tiktok,Email De Contacto,Telefono De Contacto,Estadisticas,Rival
Midea Building Tech.,Retail,Furniture & Home,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,122,China,"6 Midea Avenue, Foshan, Guangdong 528311, CN",$1B+,https://www.walmart.com/brand/midea/101018888,https://www.midea.com/global,https://www.instagram.com/mideaglobal/,https://x.com/Mideaspain,https://www.facebook.com/MideaGlobal/,https://es.pinterest.com/mideaspain/,https://www.youtube.com/%40MideaGlobal,https://www.linkedin.com/company/midea-mbt,https://www.tiktok.com/%40midea_global,service@midea.com; marketing@midea.com; servicio.mexico@midea.com; cs@mideahk.com; customercare@midea.com.ph; workshop@midea.com; customer.care@midea.com; aftersales@midea.net.au,+1 8666-463-332; +1 9735-395-330; +1 9053-056-368,,
Karseell,"Health, Wellness & Fitness",personal care product manufacturing,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,14,China,"Room 1618, No.395, Jianpeng road, Helong street, Jiahe lianbian village, Baiyun District, guangzhou, Guangzhou, China, 510000",$1M - $5M,https://www.walmart.com/brand/karseell/101012222,https://www.karseell.com,https://www.instagram.com/karseell_owner/,,https://www.facebook.com/ChinchyCosmetic/,,https://www.youtube.com/%40chinchycosmetics,https://www.linkedin.com/company/karseellmaca,https://www.tiktok.com/%40karseellcollagen,info@karseell.com; manager@karseell.com,+861 3926-101-130; +861 9102-084-727,,
Sauce Beauty,"Health, Wellness & Fitness",Hair Care & Styling,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,5,Estados Unidos,"5830 Granite Pkwy, Suite 100-312, Plano, Texas 75024, US",$1M - $5M,https://www.walmart.com/brand/sauce-beauty/101013333,https://saucebeauty.com,https://www.instagram.com/saucehair/,https://x.com/saucehaircare,https://www.facebook.com/saucehair,,,https://www.linkedin.com/company/sauce-beauty,https://www.tiktok.com/%40sauce.beauty,hello@saucebeauty.com; info@saucebeauty.com,+1 5123-400-238,,
Aires aurum,aires condicionados & minisplits,Wholesale,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,1,Mexico,"Periferico Lote 18593 Bodegas Blancas Del Actix Park Real Montejo, Mérida, Yucatan",$450K – $1.5M USD,https://airesaurum.com.mx/productos/,https://airesaurum.com.mx,https://www.instagram.com/airesaurum,,https://www.facebook.com/airesaurummx/,,https://www.youtube.com/channel/UCAHzuPaJnPb0LskC9Okuddw,https://www.linkedin.com/company/aires-aurum/?originalSubdomain=mx,,info@airesaurum.com.mx; info@saucebeauty.com,+52 9991-189-712; +52 9997-115-053,,
Avera,Mechanical Or Industrial Engineering,Mechanical Or Industrial Engineering,3/13/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,110,Mexico,"Avenida Ejército Nacional 1112, Piso 4, Ciudad de México, 11510, MX","$800,000 - $1,200,000 MXN",https://airesaurum.com.mx/productos/,https://avera.mx,https://www.instagram.com/averamexico/,,https://www.facebook.com/averamx,,https://www.youtube.com/channel/UC2bmDW0ehv17nd2dOITD3Uw,www.linkedin.com/company/averamx/mycompany/,https://www.tiktok.com/%40averamx,hola@avera.mx,+52 5541-655-570,,
Comercial Semari,Retail,Forniture and Home,3/16/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,5,Mexico,"Lerdo de Tejada 1651-B, Fracc. Los Pinos C.P. 80128, Culiacán, Sinaloa, México.","$2,500,000 - $4,000,000 MXN",https://listado.mercadolibre.com.mx/tienda/comercial-semari/_Container_ao-climatizacion-v2#%21messageGeolocation,https://comercialsemari.com,https://www.instagram.com/semarimytek/,,,,,https://www.linkedin.com/company/comercial-semari/about/,,semariventas@hotmail.com,+52 6672-531-914; +52 6677-140-413; +52 6677-140-461; +52 6677-140-990; +52 6121-276-288; +52 6121-230-845,,
Three Ships,Consumer Goods,Consumer Goods,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,32,Canada,"180 John St, Toronto ON, M5T 1X5",$5M - $10M,https://www.amazon.com/stores/ThreeShips/page/C34D98DF-D408-4F80-9267-1802FF711FF6,https://www.threeshipsbeauty.com,https://www.instagram.com/threeshipsbeauty,https://x.com/ShopThreeShips,https://www.facebook.com/threeshipsbeauty/,https://es.pinterest.com/shopthreeships/,https://www.youtube.com/%40threeshipsbeauty3658,https://www.linkedin.com/company/threeshipsbeauty,https://www.tiktok.com/%40threeshipsbeauty,hello@threeshipsbeauty.com,8889-732-385; +1 8444-757-697,,
Sorella Apothecary,"Health, Wellness & Fitness",personal care product manufacturing,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,18,Estados Unidos,"6850 S McCarran Blvd, Suite 1 Reno, NV 89509, USA",$5M - $10M,https://sorellaapothecary.com/collections/all,https://sorellaapothecary.com,https://www.instagram.com/sorellaapothecary/,,https://www.facebook.com/sorellaapothecary,https://www.pinterest.com/sorellaapothecary/,https://www.youtube.com/%40SorellaApothecary,https://www.linkedin.com/company/sorella-apothecary,https://www.tiktok.com/%40sorellaapothecary,service@sorellaapothecary.com; hello@sorellaapothecary.com,+1 8002-530-450,,
Summer Fridays,"Health, Wellness & Fitness",personal care product manufacturing,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,18,Estados Unidos,"Ahwatukee Foothills. 4933 E Ray Rd, Ste 101, Phoenix, Az 85044-6420, USA",$25M - $50M,https://summerfridays.com/collections/shop-all,https://summerfridays.com,https://www.instagram.com/summerfridays/,https://x.com/summerfridays,https://www.facebook.com/summerfridaysbeauty,https://www.pinterest.com/summer_fridays/,https://www.youtube.com/channel/UCBMtBT-QHons-bry2QihNKw,https://www.linkedin.com/company/summer-fridays,https://www.tiktok.com/%40summerfridays,info@summerfridays.com; influencers@summerfridays.com,,,
Le Mieux Cosmetics,"Health, Wellness & Fitness",esthetician training & education,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,38,Estados Unidos,"14140 Live Oak Ave, Ste D, Baldwin Park, CA, United States, 91706",$5M - $10M,https://lemieuxskincare.com/collections/all-products,https://lemieuxskincare.com,https://www.instagram.com/lemieux/,https://x.com/LeMieuxSkincare,https://www.facebook.com/LeMieuxSkincare/,https://www.pinterest.com/lemieuxskincare/,https://www.youtube.com/%40lemieuxcosmetics,https://www.linkedin.com/company/le-mieux-cosmetics,https://tiktok.com/%40lemieuxskincare,info@lemieuxcosmetics.com; shop@lemieuxskincare.com,+1 8882-832-273; +1 6269-621-234; +1 8669-592-817,,
Sanitas Skincare,Cosmetics,Cosmetics,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,28,Estados Unidos,"Boulder, CO, USA",$5M - $10M,https://sanitas-skincare.com/collections/all,https://sanitas-skincare.com,https://www.instagram.com/sanitas_skincare/,https://twitter.com/sanitasskincare,https://www.facebook.com/sanitasskincareco/,https://www.pinterest.com/sanitas_skincare/,https://www.youtube.com/%40sanitasskincareofficial,https://www.linkedin.com/company/sanitas-skincare,https://www.tiktok.com/%40sanitas_skincare,info@sanitas-skincare.com; wecare@sanitas-skincare.com,+1 3034-424-411; +1 8554-732-286; +1 3034-491-875,,
Aspen Kay Naturals,"Health, Wellness & Fitness",Beauty & Personal Care,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,5,Estados Unidos,"Clearwater, Florida 33765, US","$92,924.57",https://www.amazon.com/stores/AspenKayNaturals/page/BE312C5E-7095-4252-ABBA-C979DF5DCFA9,https://aspenkaynaturals.com,https://www.instagram.com/aspenkaynaturals/,https://x.com/aspenknaturals,https://www.facebook.com/aspenkaynaturalsinc/,https://es.pinterest.com/aspenkaynatural/,https://www.youtube.com/%40aspenkaynaturals,https://www.linkedin.com/company/ap-home-decor-inc,https://www.tiktok.com/%40aspenkayofficial,info@aspenkaynaturals.com; aspenkaymedia@gmail.com,+1 8183-127-867,,
Crandall Office Furniture,Furniture,Office Products,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,9,Estados Unidos,"608 Callaghan St, Greenville, Michigan 49331, US","$99,138.64",https://www.amazon.com/-/es/Silla-oficina-Steelcase-Leap-V2/dp/B08PPVCCST/ref%3Dsr_1_1?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=307W46SFBKKNW&dib=eyJ2IjoiMSJ9.zyM7XMIgBZZdCGyPYfTgX7zBLnQVJymzFV1CB4RzAYXktKw_MEI7yTiEJJBMMGbr1QlqvBOOaur3G_wohq1QuRt7jfxtwCODyD8hHpeLhQLUdWV6VIf23epkID9znO7qsXRG6bUEPhUVayFInw3lgL6tZm6TZAKAAoi2cJBOxqzdfsZySrJ6WBlSTssg8o2pPbYEV3AKu1S26EFxB6BZh5RahOxYm-Rgx2qEXD8-VFjBfVXDZmPX_3jr1er2ocYcrb7s-uPnBIkpYkv4VvebVYtKWOT-2jH83LCisVl6RKw.3U6dJ23gTPMW_kw5qaNkqCWxug1qmyaasxyQEDyljwY&dib_tag=se&keywords=Crandall+Office+Furniture&qid=1772461562&sprefix=crandall+office+furniture%2Caps%2C304&sr=8-1,https://crandalloffice.com,https://www.instagram.com/crandall_office/,https://x.com/CrandallChairs,https://www.facebook.com/crandalloffice,,https://www.youtube.com/%40CrandallOfficeFurniture,https://www.linkedin.com/company/crandall-office-furniture-inc,https://www.tiktok.com/%40crandallofficefurniture,contact@crandalloffice.com,6166-820-110,,
IMPRESSIONS VANITY · COMPANY,Retail,Beauty & Personal Care,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,46,Estados Unidos,"17353 Derian Ave, Irvine, California 92614, US","$88,336.92",https://www.amazon.com/stores/IMPRESSIONSVANITY%C2%B7COMPANY/page/EE6B6530-92B2-47F4-80F6-6A53EB873044,https://crandalloffice.com,https://www.instagram.com/impressionsvanity/,https://twitter.com/impressionsv,https://www.facebook.com/ImpressionsVanity/,https://www.pinterest.com/impressionsv/,https://www.youtube.com/channel/UCfY_wR-R9qCDIyX0dIKJxuA,https://www.linkedin.com/company/impressionsvanity,https://www.tiktok.com/%40impressionsvanity,support@impressionsvanity.com,+1 8448-810-790,,
